Date/Time (AEST),Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
2022-01-02T23:30,2.484,4.27,7.278,13.734,75,25.2
2022-01-03T00:00,2.558,4.42,7.723,12.913,78,25.2
2022-01-03T00:30,2.069,4.346,7.215,12.152,75,25.15
2022-01-03T01:00,2.326,3.42,7.544,11.71,81,25.15
2022-01-03T01:30,2.239,3.23,7.113,12.974,78,25.15
2022-01-03T02:00,2.254,3.29,7.764,12.157,78,25.15
2022-01-03T02:30,2.249,3.96,7.354,13.714,85,25.15
2022-01-03T03:00,2.4,4.34,8.174,13.649,78,24.9
2022-01-03T03:30,2.27,3.42,8.037,13.709,78,24.8
2022-01-03T04:00,2.123,2.73,8.203,13.658,80,24.8
2022-01-03T04:30,1.931,2.79,7.843,13.01,85,24.8
2022-01-03T05:00,2.013,3.08,7.859,13.685,81,24.8
2022-01-03T05:30,1.959,3.3,7.975,13.032,83,24.9
2022-01-03T06:00,1.677,2.99,7.519,12.842,78,24.9
2022-01-03T06:30,1.934,3.32,8.212,12.969,83,24.95
2022-01-03T07:00,1.919,3.02,7.948,12.815,85,25
2022-01-03T07:30,1.761,3.08,7.472,12.76,77,25.05
2022-01-03T08:00,1.784,2.87,6.95,12.724,87,25.05
2022-01-03T08:30,1.803,2.86,6.957,12.273,81,25.1
2022-01-03T09:00,1.693,2.64,6.729,12.733,87,25.1
2022-01-03T09:30,1.533,2.66,6.393,12.913,87,25.15
2022-01-03T10:00,1.657,2.58,6.612,11.374,80,25.15
2022-01-03T10:30,1.716,3.42,6.305,11.627,87,25.15
2022-01-03T11:00,1.685,3.079,6.383,12.837,87,25.15
2022-01-03T11:30,1.62,2.36,6.424,10.261,80,25.15
2022-01-03T12:00,1.712,2.68,6.553,12.143,84,25.15
2022-01-03T12:30,1.841,2.67,7.074,12.798,85,25.2
2022-01-03T13:00,1.686,2.73,6.698,11.478,84,25.15
2022-01-03T13:30,1.648,2.55,6.608,9.498,81,25.15
2022-01-03T14:00,1.657,2.56,6.575,9.639,88,25.15
2022-01-03T14:30,1.625,2.44,6.66,10.286,81,25.1
2022-01-03T15:00,1.43,2.31,6.065,11.529,88,25.05
2022-01-03T15:30,1.562,2.45,6.858,10.844,80,25.1
2022-01-03T16:00,1.546,2.34,6.928,11.243,85,25.15
